hakai_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5
U952,L_Adams,4,0.78,Quesnel_Horsef,3,0.08,Horsefly,3,0.07,Little,4,0.04,M_Horsefly,3,0.03
U962,Nimpkish,7,0.95,Vernon,7,0.05,Woss_Lake,7,0.00,,,,,,
U963,Sandpoint,1,0.45,Sinta,1,0.28,Blackwater,1,0.09,Narrows,1,0.07,Hudson_Bay,1,0.05
U964,Quesnel_Mitche,3,0.99,Quesnel_Horsef,3,0.01,Blue_Lead_Ck,3,0.00,Quesnel_Decept,3,0.00,,,
U965,Nimpkish,7,0.95,Vernon,7,0.05,Woss_Lake,7,0.00,,,,,,
U854,Chilko,3,0.97,Little,4,0.02,Chilko_south,2,0.00,Chilko-North,3,0.00,L_Adams,4,0.00
U855,Chilko,3,0.97,Middle,3,0.01,Tachie,3,0.01,Chilko-North,3,0.00,Horsefly,3,0.00
U878,L_Adams,4,0.96,Little,4,0.03,Raft,2,0.01,Thompson_N,2,0.00,Eagle_L,4,0.00
U879,L_Adams,4,0.51,Little,4,0.37,Seymour,2,0.07,Chilko,3,0.02,Scotch,2,0.01
U916,L_Adams,4,0.82,Seymour,2,0.11,Little,4,0.06,Scotch,2,0.00,Portage_Cr,4,0.00
U917,L_Adams,4,1.00,Eagle_L,4,0.00,,,,,,,,,
U931,Chilko,3,0.84,Thompson_N,2,0.08,Middle,3,0.02,L_Adams,4,0.02,Chilko-North,3,0.02
U932,Chilko,3,0.90,Chilko-North,3,0.05,L_Adams,4,0.03,Middle,3,0.01,Chilko_south,2,0.00
U933,L_Adams,4,0.93,Little,4,0.07,Sinta,1,0.00,Eagle_L,4,0.00,Tachie,3,0.00
U934,Chilko,3,0.99,Chilko-North,3,0.01,Little,4,0.00,L_Adams,4,0.00,Thompson_N,2,0.00
U935,Chilko,3,0.64,Middle,3,0.32,Sinta,1,0.01,Blackwater,1,0.01,Quesnel_Horsef,3,0.01
U1018,Gates_Cr,2,1.00,,,,,,,,,,,,
U1019,Pitt,2,1.00,,,,,,,,,,,,
U1020,Middle,3,0.99,Hudson_Bay,1,0.00,Sandpoint,1,0.00,Sinta,1,0.00,Narrows,1,0.00
U1023,L_Adams,4,0.74,Little,4,0.17,Quesnel_Horsef,3,0.08,Horsefly,3,0.01,Seymour,2,0.00
U1024,Chilko,3,0.78,L_Adams,4,0.11,Chilko-North,3,0.04,Sandpoint,1,0.01,Horsefly,3,0.01
U1025,L_Adams,4,0.89,Little,4,0.08,Thompson_N,2,0.02,Chilko_south,2,0.00,Chilko,3,0.00
U1026,Chilko,3,0.81,Chilko-North,3,0.12,L_Adams,4,0.02,Chilko_south,2,0.02,Little,4,0.01
U1027,Sandpoint,1,0.45,Sinta,1,0.27,Blackwater,1,0.09,Narrows,1,0.07,Hudson_Bay,1,0.04
U1042,Seymour,2,0.95,Scotch,2,0.05,L_Adams,4,0.00,Eagle,2,0.00,,,
U1043,Pitt,2,1.00,,,,,,,,,,,,
U1044,Chilko,3,0.97,Chilko-North,3,0.01,Chilko_south,2,0.01,Middle,3,0.01,L_Adams,4,0.00
U1289,Chilko,3,0.95,Chilko_south,2,0.04,Chilko-North,3,0.01,Quesnel_Horsef,3,0.00,L_Adams,4,0.00
U1290,Chilko,3,0.99,Chilko_south,2,0.00,Sandpoint,1,0.00,Hudson_Bay,1,0.00,,,
U1293,Seymour,2,0.82,Birkenhead,3,0.17,Eagle,2,0.01,Scotch,2,0.01,L_Adams,4,0.00
